               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.011021,           0.0045799,                   0,             0.98918,              0.9829,             0.99059,             0.81184,           0.0078804,           0.0034587,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.011123,           0.0046382,                   0,             0.98938,               0.985,             0.99362,             0.81023,           0.0079988,           0.0034788,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.010903,           0.0045705,                   0,             0.99223,             0.98275,             0.99404,             0.81523,           0.0077535,           0.0033993,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.010779,           0.0045449,                   0,             0.98819,             0.98315,             0.98944,             0.81395,           0.0079014,           0.0034378,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.010712,           0.0045683,                   0,             0.98945,             0.98454,             0.98826,             0.81671,           0.0078116,            0.003422,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.010647,           0.0045231,                   0,              0.9902,             0.98491,             0.98997,             0.81804,           0.0076456,           0.0033797,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.010301,           0.0044412,                   0,             0.99196,             0.98325,             0.98871,             0.82226,           0.0075405,            0.003343,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.010472,           0.0044996,                   0,             0.99159,             0.98425,             0.99061,             0.81933,           0.0076211,           0.0033576,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.010208,           0.0044805,                   0,             0.99119,             0.98422,             0.99122,              0.8223,           0.0075257,           0.0033363,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.010308,           0.0044179,                   0,             0.99119,             0.98423,             0.99375,             0.82262,           0.0075254,           0.0033304,                   0,            0.000892,            0.000892,            0.000892
                  48,           0.0099694,           0.0044401,                   0,              0.9926,               0.984,              0.9944,             0.82282,           0.0075703,           0.0033648,                   0,            0.000694,            0.000694,            0.000694
                  49,           0.0099031,           0.0044335,                   0,             0.99194,             0.98513,             0.99304,             0.82464,           0.0075533,           0.0033361,                   0,            0.000496,            0.000496,            0.000496
